"Sr No","Blood Bank Name",State,District,City,Address,Pincode,Latitude,Longitude
916,"Cauvery Hospital Blood Bank",Karnataka,Mysore,Mysore,"No.42/2B, 2C, Teresian College Circle, Siddarth Nagar",570011,12.3051,76.6958
917,"Kamakshi Hospital Blood Bank",Karnataka,Mysore,Mysore,"1st Floor, New Building of Kamakshi Hospital Premises, Kuvempnagar Mysore",570009,12.2997,76.6238
918,"Narayana Hrudayalaya - Surgical Hospital Private Limited Blood Bank",Karnataka,Mysore,Mysore," CAH-1, 3rd Phase, Devanur",570019,12.3451,76.673
919,"J. S. S. Hospital Blood Bank",Karnataka,Mysore,Mysore,"J S S Hospital, Ramanuja Road",570004,12.2952,76.6561
920,"K. R. Hospital Blood Bank",Karnataka,Mysore,Mysore,"Sayyaji Rao Road",570010,12.3131,76.6496
921,"Railway Hospital Blood Bank",Karnataka,Mysore,Yadavagiri,Yadavagiri,570020,12.3257,76.6356
922,"Hutti Gold Hospital Blood Bank",Karnataka,RAICHUR,Hutti,"Hutti Gold Mines Limited, Raichur",584101,16.1964,76.653
923,"Indian Medical Association Blood Bank",Karnataka,RAICHUR,Raichur,"3.9.58, Old Government  Hospital Compound, Beron Quilla",584101,12.96,77.573
924,"Navodaya Medical College Hospital and Research Centre Blood Bank",Karnataka,RAICHUR,Raichur,"Mantralaya Road",584103,16.1843,77.368
925,"Raichur Institute of Medical Sciences Teaching Hospital (RIMS) Blood Bank",Karnataka,RAICHUR,Raichur,"Rajendra Gunj",584101,16.2299,77.3594
926,"Sri Shakti Blood Bank",Karnataka,RAICHUR,Sindhanur,"Badarli Venkat Rao Gouda Health Care Association, Venkateshwara Tourist Home, Sukalapeta Road",584128,15.7688,76.7638
927,"M/S Indian Red Cross Society",Karnataka,RAMANAGARA,Ramanagar,"Ramanagar District Branch,
District Hospital Premises,1st Floor",562117,12.5419,77.3404
928,"Jeevadhara Blood Bank",Karnataka,SHIVAMOGGA,Bhadravathi,"17, Meena Nursing Home, Madhava Nagar",577301,13.8447,75.71
929,"VISL Hospital Blood Bank",Karnataka,SHIVAMOGGA,Bhadravati," SH 65, Hutta Colony",577301,13.8303,75.6903
930,"McGann Hospital Blood Bank",Karnataka,SHIVAMOGGA,Shimoga,"Sagar Road",577201,13.9357,75.563
931,"Shimoga Mid Town Rotary Charity Foundation Blood Bank",Karnataka,SHIVAMOGGA,Shimoga,"Opposite Usha Nursing Home, 100 Feet Road",577201,13.9463,75.5783
932,"Subbaiah Medical College Blood Bank",Karnataka,SHIVAMOGGA,Shimoga,"NH-13, Purle, Hjolehonnur, Road",577201,13.9329,75.6172
933,"M/s. Sahyadri Narayana Multispeciality Hospital Blood Bank",Karnataka,SHIVAMOGGA,Shimoga,"New Thirthahalli Road, Harakere",577202,13.9081,75.5604
934,"Red Cross Sanjeevini Blood Bank",Karnataka,SHIVAMOGGA,Shivamogga,"Ist Floor, Kshiti Complex, JPN Road",577201,13.9339,75.5718
935,"Sri Sidhartha Medical College Blood Bank",Karnataka,TUMAKURU,Tumkur,"Agalakote, B.H.Road",572102,13.346,77.057
936,"District Hospital Blood Bank Tumkur",Karnataka,TUMAKURU,Tumkur,"Near Town Hall, B.H. Road, Tumkur",572101,13.3397,77.0984
937,"J.C. Voluntary Blood Bank",Karnataka,TUMAKURU,Tumkur,"Plot No. 5421, II Floor, Narasimha Building, Nisarga Layout, B.H. Road",572101,13.3378,77.1168
938,"Vijaya Hospital Blood Bank",Karnataka,TUMAKURU,Tumkur,"10054/A, 4511/A, 3rd Main Road",572103,13.3325,77.0961
939,"Rotary Tumkur Central Belli Blood Bank",Karnataka,TUMAKURU,Tumkur,"Khata No. 308/A, 321/A and 303/A/321, Ward No. 13, Opposite Government Hospital, Gandhinagar",572201,13.3416,77.1032
940,"Sri Shridevi Charitable Trust - Sreedevi Institute of Medical Sciences & Research Hospital Blood Bank",Karnataka,TUMAKURU,Tumkur,"NH-4, Sira Road,Tumkur",572106,13.3763,77.097
941,"Kasturba Hospital Blood Bank",Karnataka,UDUPI,Manipal,"Site.No.55/2, Shivalli Village, Manipal Udupi",576104,13.3538,74.7891
942,"District Hospital Blood Bank Udupi",Karnataka,UDUPI,Udupi,"District Hospital",576101,13.334,74.7421
943,"K. L. E. Society Blood Bank",Karnataka,"UTTARA KANNADA",Ankola,"Dr. Kamal hospital & Medical Research Centre",581301,14.6618,74.3098
944,"District Hospital Blood Bank Karwar",Karnataka,"UTTARA KANNADA",Karwar,"District Hospital Premises",581301,14.8173,74.1297
945,"Pandit General Hospital Blood Bank",Karnataka,"UTTARA KANNADA",Karwar,Sirsi,581401,14.3277,74.4915
946,"The Uttara Kannada Blood Bank and Health Services Society",Karnataka,"UTTARA KANNADA",Kumta,"London Mahal, Gujjar Galli",581343,14.4293,74.4024
947,"Shripad Hegde Kadave Institute of Medical Sciences Blood Bank",Karnataka,"UTTARA KANNADA",Sirsi,"T.S.S. Hospital",581401,14.6324,74.8483
948,"M/s. Indian Red Cross Society Blood Bank Yadgir",Karnataka,YADGIR,Yadgir,"Gate no:-3,Government District Hospital Premises",585201,16.7528,77.1387
949,"K. V. M. Hospital Blood Bank",Kerala,ALAPPUZHA,Alappuzha,"P.B. No. 30, Chertala",688524,9.66711,76.3396
950,"Woman and Child Hospital Blood Bank",Kerala,ALAPPUZHA,Alappuzha,"Beach bazar",688012,9.46371,76.3703
951,"Central Travancore Specialist Hospital Limited Blood Bank",Kerala,ALAPPUZHA,Chegannur,,0,0,0
952,"M/s. Sanjivani Multispeciality Hospital Blood Bank",Kerala,ALAPPUZHA,Chengannur,"A unit of GIDS Enterprises Private Limited, Alacode, Kollakadavu Post, Cheriyanad, Chengannur, Alappuzha",690509,9.25945,76.5963
953,"Century Hospital Blood Bank",Kerala,ALAPPUZHA,Chenganoor,Mulakuzha,689505,9.3049,76.6355
954,"Sacred Heart Hospital Blood Bank",Kerala,ALAPPUZHA,Cherthala,"Green Garden",0,9.66212,76.3389
955,"V. S. M. Hospital Blood Bank",Kerala,ALAPPUZHA,Mavelikkara,"Building No. XIV/368, Thattarambalam",690103,9.24782,76.5211
956,"Chitra Hospital Blood Bank",Kerala,ALAPPUZHA,Pandalam,"Pandalam,Alappuzha",0,0,0
957,"T. D. Medical College Hospital Blood Bank Alappuzha ",Kerala,ALAPPUZHA,Vandanam,Vandanam,688005,9.41625,76.3476
958,"M/s. Rajagiri Healthcare and Education Trust Blood Bank",Kerala,ERNAKULAM,Aluva,"Changamveli, Aluva, Ernakulam",683112,10.0876,76.3881
959,"Regional Blood Transfusion Centre - District Hospital",Kerala,ERNAKULAM,Alwaye,"Railway Station Road, Periyar Nagar",683101,10.1052,76.3552
960,"Carmel Hospital Blood Bank",Kerala,ERNAKULAM,Alwaye,Ashokapuram,683101,10.0906,76.3621
961,"Little Flower Hospital Blood Bank",Kerala,ERNAKULAM,Angamaly,"M. G. Road",683572,10.1904,76.3903
962,"Aster Medicity - Aster DM Healthcare Private Limited Blood Bank",Kerala,ERNAKULAM,Cheranalloor,"IX/475 L, Kuttysahib Road, Near Kothad Bridge, South Chittoor ",682027,10.0439,76.2775
963,"General Hospital Blood Bank ",Kerala,ERNAKULAM,Ernakulam,"Hospital Road",680011,9.97198,76.2817
964,"INHS Sanjeevini Naval Base Blood Bank",Kerala,ERNAKULAM,Ernakulam,"Willingdon Island",682003,9.94676,76.2826
965,"IMA Voluntary Donor Blood Bank",Kerala,ERNAKULAM,Ernakulam,"T. D. Road",682011,10.0149,76.3035
966,"Lisie Hospital Blood Bank",Kerala,ERNAKULAM,Ernakulam,"Lisie Medical Institution",682018,9.98822,76.2881
967,"Malankara Orthodox Syrian Church Medical Mission Hospital Blood Bank",Kerala,ERNAKULAM,Ernakulam,Kolencherry,680311,9.9833,76.4744
968,"Amritha Institute of Medical Sciences Research Centre Blood Bank",Kerala,ERNAKULAM,Ernakulam,,682041,10.0331,76.2939
969,"Medical Trust Hospital Blood Bank",Kerala,ERNAKULAM,Kakkanad,"M.G.Road, Pallimukku",682016,9.9642,76.2879
970,"Government Medical College Ernakulam Blood Bank",Kerala,ERNAKULAM,Kalamassery,"HMT Colony Post",683503,10.0534,76.3549
971,"P. V. S. Memorial Hospital Limited Blood Bank",Kerala,ERNAKULAM,Kallor,"NH Road, Next to Gokulam Park",682017,9.99339,76.2913
972,"Samaritan Hospital Blood Bank",Kerala,ERNAKULAM,Kizhakkambalam,Pazhanganad,683562,10.0439,76.3976
973,"Lourdes Hospital Blood Bank",Kerala,ERNAKULAM,Kochi,Pachalam,683503,10.0066,76.2779
974,"Sunrise Institute of Medical Sciences Private Limited Blood Bank",Kerala,ERNAKULAM,Kochi,"Sea Port Air Port Road",682025,10.0253,76.3389
975,"Devamatha Hospital Blood Bank",Kerala,ERNAKULAM,Koothattukulam,,686662,9.86619,76.595
976,"Mar Baselius Medical Mission Hospital Blood Bank",Kerala,ERNAKULAM,Kothamangalam,"NH49, Near Post Office",686691,10.0645,76.6223
977,"Saint Joseph Hospital Blood Bank",Kerala,ERNAKULAM,Kothamangalam,Dharmagiri,686691,10.0122,76.3239
978,"Lakeshore HospitalandResearch Centre Limited Blood Bank",Kerala,ERNAKULAM,Maradu,Nettoor,682040,9.91893,76.319
979,"Nirmala Medical Center Blood Bank",Kerala,ERNAKULAM,Moovattupuzha,Kizhakkekara,686661,9.9822,76.5851
980,"Sree Narayana Institute of Medical Sciences Blood Bank",Kerala,ERNAKULAM,"North Kuthyathode",Chalakka,683594,10.1567,76.2823
981,"Sanjoe Hospital Blood Bank",Kerala,ERNAKULAM,Perumbavoor,"A. M. Road",680541,10.1142,76.4727
982,"Morning Star Medical Centre Blood Bank",Kerala,IDUKKI,Adimali,"Nazareth Hill",685561,10.0119,76.9585
983,"Saint Johns Hospital Blood Bank",Kerala,IDUKKI,Kattappana,,685515,9.74686,76.1102
984,"Mundakkayam Medical Trust (M.M.T.) Hospital Blood Bank ",Kerala,IDUKKI,Mundakayam,,686513,9.53516,76.909
985,"Tata Tea Limited General Hospital Blood Bank",Kerala,IDUKKI,Munnar,,685612,10.0886,76.0562
986,"Alphonsa Hospital Blood Bank",Kerala,IDUKKI,Murikkassery,"Annakara, SH 19",685512,9.66503,77.1585
987,"District Hospital Blood Bank",Kerala,IDUKKI,Painavu,,685603,9.84809,76.9606
988,"Holy Family Hospital Blood Bank",Kerala,IDUKKI,Thodupuzha,Muthalakodam,686505,9.91232,76.7339
989,"I. M. A. Blood Bank Society",Kerala,IDUKKI,Thodupuzha,"Thodupuzha Town Road",685584,9.89411,76.7089
990,"M/s. Al-Azhar Medical College & Super Speciality Hospital Blood Bank",Kerala,IDUKKI,Thodupuzha,"Building No. IV/305/A, Ezhalloor Post, Thodupuzha, Idukki",685605,9.94028,76.721
991,"Sara Memorial Medical laboratory and Blood Bank",Kerala,KANNUR,," Brigade Centre Fort Road",670001,11.7495,75.523
992,"Kannur Medical college and Hospital (Prestige educational Trust) Blood Bank",Kerala,KANNUR,Anjarakandy,"Chovva Mathanur Road",670612,11.8758,75.4993
993,"Saint Martin De Porres Hospital Blood Bank",Kerala,KANNUR,Cherukunnu,,670301,11.9947,75.3129
994,"Cannannore Co-operative Hospital Society Blood Bank",Kerala,KANNUR,Kannur,Talap,670101,11.7641,75.4798
995,"District Hospital Blood Bank",Kerala,KANNUR,Kannur,"Railway Road",670017,11.8612,75.3706
996,"Kerala State Co-operative Hospital Complex and Centre for Advanced Medical Services Limited",Kerala,KANNUR,Pariyaram,"Pariyaram MC Campus Road",670503,12.0724,75.2943
997,"The Payyannur Co-operative Hospital Society Limited",Kerala,KANNUR,Payyannur,"No.C.1487, South Bazar",670307,12.1062,75.2095
998,"Josgiri Hospital Blood Bank",Kerala,KANNUR,Thalasherry,"Thalasherry, Kannur",670101,11.7591,75.4788
999,"Tellichery Co-operative Hospital Blood Bank",Kerala,KANNUR,Thalassery,Palissery,670101,11.7488,75.4866
1000,"General Hospital Blood Bank",Kerala,KANNUR,Thalassery,,670101,11.7475,75.4872
1001,"Malabar Cancer Centre Society Blood Bank",Kerala,KANNUR,Thalassery,"Moozhikkara Post,",670103,11.7494,75.5235
1002,"District Hospital Blood Bank,Kanhangad",Kerala,KASARAGOD,Kanhangad,"Chammattam Vayal, Bella (PO)",671315,12.3147,75.1051
1003,"Medical diagnostic Centre Blood Bank",Kerala,KASARAGOD,Kanhangad,,671315,12.3122,75.0935
1004,"Community Health Centre (T.H.Q) - General Hospital Blood Bank",Kerala,KASARAGOD,Kasaragod,,671121,12.5034,74.9917
1005,"Saint Joseph Hospital Blood Bank",Kerala,KOLLAM,Anchal,"Anchal Post",691306,8.92926,76.9179
1006,"District Hospital Blood Bank",Kerala,KOLLAM,Kollam,Chinnakada,691001,8.88595,76.5858
1007,"Bishop Benziger Hospital Blood Bank",Kerala,KOLLAM,Kollam,"Beach Road",691001,8.92927,76.9179
1008,"I.M.A.Blood Bank",Kerala,KOLLAM,Kollam,"Ist Floor, IMA Centre, Ashramam",691002,8.89588,76.5932
1009,"S.N.Trust Medical Mission Sankar Memorial Hospital Blood Bank",Kerala,KOLLAM,Kollam,Kollam,691001,8.88984,76.5985
1010,"Upasana Hospital Blood Bank",Kerala,KOLLAM,Kollam,"Cantonment, North Ward",691001,8.89115,76.6003
1011,"Taluk Head Quarters Hospital Blood Bank",Kerala,KOLLAM,Kottakkara,,691506,9.00435,76.7756
1012,"Holy Cross Hospital Blood Bank",Kerala,KOLLAM,Kottiyam,,691571,8.8618,76.6733
1013,"Padmavathy Medical Foundation Blood Bank",Kerala,KOLLAM,Manakkara,"Sasthamkotta Road",690521,9.0533,76.633
1014,"Azeezia Medical College Blood Bank",Kerala,KOLLAM,Meeyannoor,"Meeyanoor Road",691537,8.88989,76.7398
1015,"Quilon Medical Trust Blood Bank Kollam",Kerala,KOLLAM,Mylapore,"N.H. Bypass Road, Umayanalloor",691589,8.87548,76.6436
1016,"M/s. Employee&#39;s State Insurance Corporation (ESIC) Blood Bank",Kerala,KOLLAM,Paripally,"Medical College Hospital, Diagnostic Block, Building No. KP / VI/ 952 - H, Paripally, Kollam",691574,8.81078,76.7491
1017,"Saint Joseph Hospital Blood Bank",Kerala,KOLLAM,Pathanapuram,Pathanapuram,691306,8.95069,76.9179
1018,"Government Hospital Blood Bank",Kerala,KOLLAM,Punalur,"Govt. Blood Bank 
Thaluk hospital 
Punalur


",691305,9.01917,76.9247
1019,"Rotary Blood Bank",Kerala,KOTTAYAM,,"Mangad Building",686001,9.5932,76.5218
1020,"Immaculate Heart of Mary Hospital Blood Bank",Kerala,KOTTAYAM,Bharanganam,"Bharanganam, Palai",686578,9.70387,76.7205
1021,"Mary Queens Mission Hospital Blood Bank",Kerala,KOTTAYAM,Kanjirappally,"Erumely Road",686518,9.55811,76.8139
1022,"Little Lourde Mission Hospital Blood Bank",Kerala,KOTTAYAM,Kidangoor,,686752,9.68354,76.6121
1023,"District Hospital Blood Bank",Kerala,KOTTAYAM,Kottayam,,686002,9.59006,76.526
1024,"Medical College Hospital Blood Bank",Kerala,KOTTAYAM,Kottayam,"Gandhi Nagar S.O",686008,9.63199,76.5188
1025,"M/s. Bharath Charitable Hospital Society Blood Bank",Kerala,KOTTAYAM,Kottayam,"Azad Lane, Kottayam",686001,9.58931,76.5193
1026,"Saint Thomas Hospital Blood Bank",Kerala,KOTTAYAM,Kurisumudu,Chettipuzha,686104,7.47564,76.5472
1027,"MUM Hospital Blood Bank",Kerala,KOTTAYAM,Monippally,,686636,9.81062,76.5768
1028,"Holy Ghost Mission Hospital Blood Bank",Kerala,KOTTAYAM,Muttuchira,Muttuchira,686613,9.75725,76.4998
1029,"S. H. Medical Centre Blood Bank",Kerala,KOTTAYAM,Nagampadam,Nagampadam,686001,9.59431,76.5295
1030,"Carmel Medical Centre Blood Bank",Kerala,KOTTAYAM,Pala,"Arattu Kadavu Road, Thirumuppam",683517,10.0919,76.2656
1031,"Marian Medical Centre Blood Bank",Kerala,KOTTAYAM,Palai,Arunapuram,686574,9.70601,76.6624
1032,"Believers Church Medical College Hospital Blood Bank",Kerala,KOTTAYAM,Pathanamthitta,"M/s. Believers Quarters Theological Seminary Building Number, XXXII/402(7), Kuttapuzha Post, Pathanamthitta
",689103,9.41668,76.5753
1033,"Velankanni Matha Hospital Private Limited Blood Bank",Kerala,KOTTAYAM,Thellakam,"Building No X/387 N",686016,9.64845,76.5496
1034,"Caritas Hospital Blood Bank",Kerala,KOTTAYAM,Thellakom,"M. C. Road",686630,9.64526,76.5499
1035,"Indo American Hospital - Brainand Spine Centre Blood Bank",Kerala,KOTTAYAM,Vaikom,Chemmanakari,686173,9.79117,76.3771
1036,"P. V. S. Hospital Private Limited Blood Bank",Kerala,KOZHIKODE,,,673002,11.2427,75.7829
1037,"MMC Hospital Blood Bank",Kerala,KOZHIKODE,Atholi,Modakkallur,673321,11.4337,75.7753
1038,"Metro International Cardiac Centre Blood Bank",Kerala,KOZHIKODE,Calicut,"Building No. 03/1020 A-M, Basement Floor (B1), Thondayad Bypass Road, Guruvayoor Appan College ",673014,11.2454,75.8361
1039,"Mar Gregorious Diocese Memorial Muthoot Hospital Blood Bank",Kerala,KOZHIKODE,Devagiri,,689626,9.3258,76.5394
1040,"Kozhikode District Co-operative Hospital Blood Bank",Kerala,KOZHIKODE,Eranhipalam,Eranhipalam,673006,11.2766,75.7847
1041,"Government Woman and Child Hospital Blood Bank",Kerala,KOZHIKODE,Kottapparamba,,673001,11.2508,75.7828
1042,"Government General Hospital Blood Bank",Kerala,KOZHIKODE,Kozhikode,"Calicut Beach S.O",673032,11.2566,75.7709
1043,"Medical College Hospital Blood Bank",Kerala,KOZHIKODE,Kozhikode,,673008,11.2718,75.8365
1044,"Baby Memorial Hospital Blood Bank",Kerala,KOZHIKODE,Kozhikode,"Indira Gandhi Road",673004,11.2596,75.7922
1045,"Fathima Hospital Blood Bank",Kerala,KOZHIKODE,Kozhikode,"Bank Road",673004,11.262,75.7801
1046,"K M C T Hospital Blood Bank",Kerala,KOZHIKODE,Kozhikode,,673572,11.3259,75.9714
1047,"Malabar Institute of Medical Sciences Blood Bank",Kerala,KOZHIKODE,Kozhikode,,673016,11.2457,75.798
1048,"National Hospital Blood Bank",Kerala,KOZHIKODE,Kozhikode,,673001,11.2595,75.7812
1049,"IQRAA Hospital Blood Bank",Kerala,KOZHIKODE,Malaparamba,,673009,11.2864,75.7975
1050,"Nirmala Hospital Blood Bank",Kerala,KOZHIKODE,Marrikunnu,,673012,11.2916,75.8232
1051,"Saint Joseph Hospital Blood Bank",Kerala,KOZHIKODE,Mukkom,Agastianmoozhi,673602,11.3311,75.9837
1052,"Santhi Hospital Blood Bank",Kerala,KOZHIKODE,Omassery,Omaserry,673582,11.3627,75.9646
1053,"Badagara sahakarana Asupathri Limited Blood Bank",Kerala,KOZHIKODE,Vadakara,"Edapally-Panvel Highway, Narayana Nagar",673101,11.5897,75.5953
1054,"Edappal Hospital Private Limited Blood Bank",Kerala,MALAPPURAM,Edappal,,670576,10.7827,76.0111
1055,"Sree Valsam Institute of Medical Sciences Blood Bank",Kerala,MALAPPURAM,Edappal,"Naduvattam, Kololamba",679576,10.7653,76.0073
1056,"Malabar Institute of Medical Sciences Blood Bank - Malappuram",Kerala,MALAPPURAM,Kottakkal,,676503,10.9958,75.994
1057,"Almas Hospital Blood Bank - Chankuvatty",Kerala,MALAPPURAM,Kottakkal,,676503,11.0001,75.9911
1058,"Orchid Institute of Health Care and Research Private Limited Blood Bank",Kerala,MALAPPURAM,Malappuram,"PB NO:212, Down Hill
P.O.Malappuram",676519,11.0515,76.0697
1059,"District Hospital Blood Bank Manjeri",Kerala,MALAPPURAM,Manjeri,,676121,11.1161,76.1205
1060,"Korambayil Hospital Blood Bank",Kerala,MALAPPURAM,Manjeri,,676122,11.1231,76.1257
1061,"Al-Shifa Hospital Private Limited",Kerala,MALAPPURAM,Perintalmanna,,679322,10.9848,76.2239
1062,"M. E. S. Medical College Blood Bank",Kerala,MALAPPURAM,Perinthalmanna,,679338,10.9572,76.1757
1063,"Government Hospital -Taluk Head Quarters Hospital Blood Bank ",Kerala,MALAPPURAM,Perinthanmanna,,679322,10.9743,76.2319
1064,"Taluk Head Quarters Hospital",Kerala,MALAPPURAM,Thirur,,676101,10.4458,75.9216
1065,"Karuna Medical College Hospital Blood Bank",Kerala,PALAKKAD,Alathur,"IV/931, Vilayodi, Chittur",678103,10.6804,76.7758
1066,"Mother Care Hospital Blood Bank",Kerala,PALAKKAD,Mannarkad,Vattambalam,678762,10.9834,76.4232
1067,"Valluvanad Hospital Blood Bank",Kerala,PALAKKAD,Ottapalam,,679104,10.7746,76.3605
1068,"District Hospital",Kerala,PALAKKAD,Palakkad,N/A,678001,10.7692,76.6584
1069,"Palakkad Blood Bank",Kerala,PALAKKAD,Palakkad,"5/373, I Floor, Soorya Enclave, Opposite Palat Hospital,
Civil Station Road",678001,10.7616,76.655
1070,"Holy Cross Hospital Blood Bank",Kerala,PATHANAMTHITTA,Adoor,Adoor,691523,9.16166,76.7244
1071,"Lifeline Super Speciality Hospital Blood Bank",Kerala,PATHANAMTHITTA,Adoor,"Building No XII/804 J, 14th Mile, Melood ",691523,9.16344,76.7063
1072,"Mar Gregorious Memorial Muthoot Medical Centre Blood Bank",Kerala,PATHANAMTHITTA,Kozhencherry,,689641,9.3379,76.7107
1073,"Poyanil Hospital Blood Bank",Kerala,PATHANAMTHITTA,Kozhencherry,"Kozhencherry, Pathanamthitta",689546,9.3367,76.7079
1074,"Fellowship Mission Hospital Blood Bank",Kerala,PATHANAMTHITTA,Kumbanad,,689547,9.3715,76.6556
1075,"Archana Hospital Blood Bank Pandalam",Kerala,PATHANAMTHITTA,Pandalam,,689501,9.22007,76.6798
1076,"Chithra Hospital Blood Bank",Kerala,PATHANAMTHITTA,Pandalam,,686544,9.46586,76.7789
1077,"General Hospital Blood Bank ",Kerala,PATHANAMTHITTA,Pathanamthitta,,689645,9.26582,76.7824
1078,"Menathottam Hospital Blood Bank",Kerala,PATHANAMTHITTA,Ranni,"Angadi, Ranni",689673,9.38196,76.7742
1079,"Pushpagiri Hospital Blood Bank",Kerala,PATHANAMTHITTA,Thiruvalla,Thiruvalla,689101,9.38099,76.581
1080,"Thiruvalla Medical Mission Hospital Blood Bank",Kerala,PATHANAMTHITTA,Thiruvalla,"Post Box No. 74",689101,9.39392,76.5784
1081,"Taluk Head Quarter Hospital Blood Bank",Kerala,THIRUVANANTHAPURAM,Chiryinkil,,695304,8.66136,76.7865
1082,"Dr. Somervel CSI Mission Hospital Blood Bank",Kerala,THIRUVANANTHAPURAM,Karakkonam,,695504,8.39147,77.1736
1083,"P. N. M. Hospital Blood Bank",Kerala,THIRUVANANTHAPURAM,Kattakkada,"Kattakkada, Thiruvananthapuram",0,0,0
1084,"NIMS Hospital Blood Bank",Kerala,THIRUVANANTHAPURAM,Neyyattinkara,Aralumoodu,695123,8.30492,76.5434
1085,"General Hospital Blood Bank",Kerala,THIRUVANANTHAPURAM,ThiruvAnanthapuram,,0,8.50012,76.9423
1086,"Medical College Hospital Blood Bank",Kerala,THIRUVANANTHAPURAM,Thiruvananthapuram,,695011,8.6046,76.9326
1087,"Regional Cancer Centre Blood Bank",Kerala,THIRUVANANTHAPURAM,ThiruvAnanthapuram,"Medical College Campus",695011,8.52048,76.9242
1088,"Sri Chitra Thirunal Institute of Medical Science and Technology Blood Bank",Kerala,THIRUVANANTHAPURAM,ThiruvAnanthapuram,Chalakkuzhi,695011,8.52106,76.9265
1089,"Women and Children Hospital Blood Bank",Kerala,THIRUVANANTHAPURAM,ThiruvAnanthapuram,Thycaud,695014,8.48738,76.9569
1090,"Ananthapuri Hospital and Research Institute Blood Bank",Kerala,THIRUVANANTHAPURAM,ThiruvAnanthapuram,"NH Bypass, Chacka",695024,8.48654,76.927
